original,this,that,order
Sesuviaceae=Aizoaceae=Caryophyllales,Sesuviaceae,Aizoaceae,Caryophyllales
Silenaceae=Caryophyllaceae=Caryophyllales,Silenaceae,Caryophyllaceae,Caryophyllales
Spergulaceae=Caryophyllaceae=Caryophyllales,Spergulaceae,Caryophyllaceae,Caryophyllales
Spinaciaceae=Amaranthaceae=Caryophyllales,Spinaciaceae,Amaranthaceae,Caryophyllales
Staticaceae=Plumbaginaceae=Caryophyllales,Staticaceae,Plumbaginaceae,Caryophyllales
Stellariaceae=Caryophyllaceae=Caryophyllales,Stellariaceae,Caryophyllaceae,Caryophyllales
Telephiaceae=Caryophyllaceae=Caryophyllales,Telephiaceae,Caryophyllaceae,Caryophyllales
Tetragoniaceae=Aizoaceae=Caryophyllales,Tetragoniaceae,Aizoaceae,Caryophyllales
Ullucaceae=Basellaceae=Caryophyllales,Ullucaceae,Basellaceae,Caryophyllales
Brexiaceae=Celastraceae=Celastrales,Brexiaceae,Celastraceae,Celastrales
Canotiaceae=Celastraceae=Celastrales,Canotiaceae,Celastraceae,Celastrales
Chingithamnaceae=Celastraceae=Celastrales,Chingithamnaceae,Celastraceae,Celastrales
Euonymaceae=Celastraceae=Celastrales,Euonymaceae,Celastraceae,Celastrales
Hippocrateaceae=Celastraceae=Celastrales,Hippocrateaceae,Celastraceae,Celastrales
Lepuropetalaceae=Celastraceae=Celastrales,Lepuropetalaceae,Celastraceae,Celastrales
Parnassiaceae=Celastraceae=Celastrales,Parnassiaceae,Celastraceae,Celastrales
Plagiopteraceae=Celastraceae=Celastrales,Plagiopteraceae,Celastraceae,Celastrales
Pottingeriaceae=Celastraceae=Celastrales,Pottingeriaceae,Celastraceae,Celastrales
Salaciaceae=Celastraceae=Celastrales,Salaciaceae,Celastraceae,Celastrales
Siphonodontaceae=Celastraceae=Celastrales,Siphonodontaceae,Celastraceae,Celastrales
Stackhousiaceae=Celastraceae=Celastrales,Stackhousiaceae,Celastraceae,Celastrales
Hedyosmaceae=Chloranthaceae=Chloranthales,Hedyosmaceae,Chloranthaceae,Chloranthales
Cartonemataceae=Commelinaceae=Commelinales,Cartonemataceae,Commelinaceae,Commelinales
Conostylidaceae=Haemodoraceae=Commelinales,Conostylidaceae,Haemodoraceae,Commelinales
Dilatridaceae=Haemodoraceae=Commelinales,Dilatridaceae,Haemodoraceae,Commelinales
Ephemeranthaceae=Commelinaceae=Commelinales,Ephemeranthaceae,Commelinaceae,Commelinales
Heterantheraceae=Pontederiaceae=Commelinales,Heterantheraceae,Pontederiaceae,Commelinales
Tradescantiaceae=Commelinaceae=Commelinales,Tradescantiaceae,Commelinaceae,Commelinales
Unisemataceae=Pontederiaceae=Commelinales,Unisemataceae,Pontederiaceae,Commelinales
Wachendorfiaceae=Haemodoraceae=Commelinales,Wachendorfiaceae,Haemodoraceae,Commelinales
Xiphidiaceae=Haemodoraceae=Commelinales,Xiphidiaceae,Haemodoraceae,Commelinales
Alangiaceae=Cornaceae=Cornales,Alangiaceae,Cornaceae,Cornales
Cevalliaceae=Loasaceae=Cornales,Cevalliaceae,Loasaceae,Cornales
Davidiaceae=Nyssaceae=Cornales,Davidiaceae,Nyssaceae,Cornales
Gronoviaceae=Loasaceae=Cornales,Gronoviaceae,Loasaceae,Cornales
Hortensiaceae=Hydrangeaceae=Cornales,Hortensiaceae,Hydrangeaceae,Cornales
Kirengeshomaceae=Hydrangeaceae=Cornales,Kirengeshomaceae,Hydrangeaceae,Cornales
Mastixiaceae=Nyssaceae=Cornales,Mastixiaceae,Nyssaceae,Cornales
Nyssaceae=Cornaceae=Cornales,Nyssaceae,Cornaceae,Cornales
Ophiraceae=Grubbiaceae=Cornales,Ophiraceae,Grubbiaceae,Cornales
Philadelphaceae=Hydrangeaceae=Cornales,Philadelphaceae,Hydrangeaceae,Cornales
Ixerbaceae=Strasburgeriaceae=Crossosomatales,Ixerbaceae,Strasburgeriaceae,Crossosomatales
Ochranthaceae=Staphyleaceae=Crossosomatales,Ochranthaceae,Staphyleaceae,Crossosomatales
Bryoniaceae=Cucurbitaceae=Cucurbitales,Bryoniaceae,Cucurbitaceae,Cucurbitales
Cyclantheraceae=Cucurbitaceae=Cucurbitales,Cyclantheraceae,Cucurbitaceae,Cucurbitales
Nhandirobaceae=Cucurbitaceae=Cucurbitales,Nhandirobaceae,Cucurbitaceae,Cucurbitales
Polygonanthaceae=Anisophylleaceae=Cucurbitales,Polygonanthaceae,Anisophylleaceae,Cucurbitales
Zanoniaceae=Cucurbitaceae=Cucurbitales,Zanoniaceae,Cucurbitaceae,Cucurbitales
Boweniaceae=Zamiaceae=Cycadales,Boweniaceae,Zamiaceae,Cycadales
Dioaceae=Zamiaceae=Cycadales,Dioaceae,Zamiaceae,Cycadales
Encephalartaceae=Zamiaceae=Cycadales,Encephalartaceae,Zamiaceae,Cycadales
Microcycadaceae=Zamiaceae=Cycadales,Microcycadaceae,Zamiaceae,Cycadales
Stangeriaceae=Zamiaceae=Cycadales,Stangeriaceae,Zamiaceae,Cycadales
Delimaceae=Dilleniaceae=Dilleniales,Delimaceae,Dilleniaceae,Dilleniales
Hibbertiaceae=Dilleniaceae=Dilleniales,Hibbertiaceae,Dilleniaceae,Dilleniales
Soramiaceae=Dilleniaceae=Dilleniales,Soramiaceae,Dilleniaceae,Dilleniales
Avetraceae=Dioscoreaceae=Dioscoreales,Avetraceae,Dioscoreaceae,Dioscoreales
Lophiolaceae=Nartheciaceae=Dioscoreales,Lophiolaceae,Nartheciaceae,Dioscoreales
Stenomeridaceae=Dioscoreaceae=Dioscoreales,Stenomeridaceae,Dioscoreaceae,Dioscoreales
Tamaceae=Dioscoreaceae=Dioscoreales,Tamaceae,Dioscoreaceae,Dioscoreales
Tamnaceae=Dioscoreaceae=Dioscoreales,Tamnaceae,Dioscoreaceae,Dioscoreales
Trichopodaceae=Dioscoreaceae=Dioscoreales,Trichopodaceae,Dioscoreaceae,Dioscoreales
Diervillaceae=Caprifoliaceae=Dipsacales,Diervillaceae,Caprifoliaceae,Dipsacales
Dipsacaceae=Caprifoliaceae=Dipsacales,Dipsacaceae,Caprifoliaceae,Dipsacales
Linnaeaceae=Caprifoliaceae=Dipsacales,Linnaeaceae,Caprifoliaceae,Dipsacales
Loniceraceae=Caprifoliaceae=Dipsacales,Loniceraceae,Caprifoliaceae,Dipsacales
Morinaceae=Caprifoliaceae=Dipsacales,Morinaceae,Caprifoliaceae,Dipsacales
Sambucaceae=Adoxaceae=Dipsacales,Sambucaceae,Adoxaceae,Dipsacales
Scabiosaceae=Caprifoliaceae=Dipsacales,Scabiosaceae,Caprifoliaceae,Dipsacales
Tinaceae=Adoxaceae=Dipsacales,Tinaceae,Adoxaceae,Dipsacales
Triplostegiaceae=Caprifoliaceae=Dipsacales,Triplostegiaceae,Caprifoliaceae,Dipsacales
Valerianaceae=Caprifoliaceae=Dipsacales,Valerianaceae,Caprifoliaceae,Dipsacales
Viburnaceae=Adoxaceae=Dipsacales,Viburnaceae,Adoxaceae,Dipsacales
Achradaceae=Sapotaceae=Ericales,Achradaceae,Sapotaceae,Ericales
Actinidiaceae=Ericales,Actinidiaceae,,Ericales
Aegicerataceae=Primulaceae=Ericales,Aegicerataceae,Primulaceae,Ericales
Anagallidaceae=Primulaceae=Ericales,Anagallidaceae,Primulaceae,Ericales
Andromedaceae=Ericaceae=Ericales,Andromedaceae,Ericaceae,Ericales
Arbutaceae=Ericaceae=Ericales,Arbutaceae,Ericaceae,Ericales
Arctostaphylaceae=Ericaceae=Ericales,Arctostaphylaceae,Ericaceae,Ericales
Ardisiaceae=Primulaceae=Ericales,Ardisiaceae,Primulaceae,Ericales
Asteranthaceae=Lecythidaceae=Ericales,Asteranthaceae,Lecythidaceae,Ericales
Azaleaceae=Ericaceae=Ericales,Azaleaceae,Ericaceae,Ericales
Barringtoniaceae=Lecythidaceae=Ericales,Barringtoniaceae,Lecythidaceae,Ericales
Boerlagellaceae=Sapotaceae=Ericales,Boerlagellaceae,Sapotaceae,Ericales
Bumeliaceae=Sapotaceae=Ericales,Bumeliaceae,Sapotaceae,Ericales
Camelliaceae=Theaceae=Ericales,Camelliaceae,Theaceae,Ericales
Cobaeaceae=Polemoniaceae=Ericales,Cobaeaceae,Polemoniaceae,Ericales
Coridaceae=Primulaceae=Ericales,Coridaceae,Primulaceae,Ericales
Diospyraceae=Ebenaceae=Ericales,Diospyraceae,Ebenaceae,Ericales
Embeliaceae=Primulaceae=Ericales,Embeliaceae,Primulaceae,Ericales
Empetraceae=Ericaceae=Ericales,Empetraceae,Ericaceae,Ericales
Epacridaceae=Ericaceae=Ericales,Epacridaceae,Ericaceae,Ericales
Foetidiaceae=Lecythidaceae=Ericales,Foetidiaceae,Lecythidaceae,Ericales
Galacinaceae=Diapensiaceae=Ericales,Galacinaceae,Diapensiaceae,Ericales
Gordoniaceae=Theaceae=Ericales,Gordoniaceae,Theaceae,Ericales
Guaiacanaceae=Ebenaceae=Ericales,Guaiacanaceae,Ebenaceae,Ericales
Gustaviaceae=Lecythidaceae=Ericales,Gustaviaceae,Lecythidaceae,Ericales
Halesiaceae=Styracaceae=Ericales,Halesiaceae,Styracaceae,Ericales
Heliamphoraceae=Sarraceniaceae=Ericales,Heliamphoraceae,Sarraceniaceae,Ericales
Hottoniaceae=Primulaceae=Ericales,Hottoniaceae,Primulaceae,Ericales
Hydroceraceae=Balsaminaceae=Ericales,Hydroceraceae,Balsaminaceae,Ericales
Hypopityaceae=Ericaceae=Ericales,Hypopityaceae,Ericaceae,Ericales
Impatientaceae=Balsaminaceae=Ericales,Impatientaceae,Balsaminaceae,Ericales
Kalmiaceae=Ericaceae=Ericales,Kalmiaceae,Ericaceae,Ericales
Ledaceae=Ericaceae=Ericales,Ledaceae,Ericaceae,Ericales
Lissocarpaceae=Ebenaceae=Ericales,Lissocarpaceae,Ebenaceae,Ericales
Lysimachiaceae=Primulaceae=Ericales,Lysimachiaceae,Primulaceae,Ericales
Maesaceae=Primulaceae=Ericales,Maesaceae,Primulaceae,Ericales
Menzieziaceae=Ericaceae=Ericales,Menzieziaceae,Ericaceae,Ericales
Monotropaceae=Ericaceae=Ericales,Monotropaceae,Ericaceae,Ericales
Myrsinaceae=Primulaceae=Ericales,Myrsinaceae,Primulaceae,Ericales
Napoleonaeaceae=Lecythidaceae=Ericales,Napoleonaeaceae,Lecythidaceae,Ericales
Noranteaceae=Marcgraviaceae=Ericales,Noranteaceae,Marcgraviaceae,Ericales
Oxycoccaceae=Ericaceae=Ericales,Oxycoccaceae,Ericaceae,Ericales
Pellicieraceae=Tetrameristaceae=Ericales,Pellicieraceae,Tetrameristaceae,Ericales
Prionotaceae=Ericaceae=Ericales,Prionotaceae,Ericaceae,Ericales
Pyrolaceae=Ericaceae=Ericales,Pyrolaceae,Ericaceae,Ericales
Rhaptopetalaceae=Lecythidaceae=Ericales,Rhaptopetalaceae,Lecythidaceae,Ericales
Rhododendraceae=Ericaceae=Ericales,Rhododendraceae,Ericaceae,Ericales
Rhodoraceae=Ericaceae=Ericales,Rhodoraceae,Ericaceae,Ericales
Salaxidaceae=Ericaceae=Ericales,Salaxidaceae,Ericaceae,Ericales
Samolaceae=Primulaceae=Ericales,Samolaceae,Primulaceae,Ericales
Sarcospermataceae=Sapotaceae=Ericales,Sarcospermataceae,Sapotaceae,Ericales
Saurauiaceae=Actinidiaceae=Ericales,Saurauiaceae,Actinidiaceae,Ericales
Scytopetalaceae=Lecythidaceae=Ericales,Scytopetalaceae,Lecythidaceae,Ericales
Stypheliaceae=Ericaceae=Ericales,Stypheliaceae,Ericaceae,Ericales
Ternstroemiaceae=Pentaphylacaceae=Ericales,Ternstroemiaceae,Pentaphylacaceae,Ericales
Theophrastaceae=Primulaceae=Ericales,Theophrastaceae,Primulaceae,Ericales
Vacciniaceae=Ericaceae=Ericales,Vacciniaceae,Ericaceae,Ericales
Anopteraceae=Escalloniaceae=Escalloniales,Anopteraceae,Escalloniaceae,Escalloniales
Eremosynaceae=Escalloniaceae=Escalloniales,Eremosynaceae,Escalloniaceae,Escalloniales
Polyosmaceae=Escalloniaceae=Escalloniales,Polyosmaceae,Escalloniaceae,Escalloniales
Tribelaceae=Escalloniaceae=Escalloniales,Tribelaceae,Escalloniaceae,Escalloniales
Acaciaceae=Fabaceae=Fabales,Acaciaceae,Fabaceae,Fabales
Aspalathaceae=Fabaceae=Fabales,Aspalathaceae,Fabaceae,Fabales
Astragalaceae=Fabaceae=Fabales,Astragalaceae,Fabaceae,Fabales
Bauhiniaceae=Fabaceae=Fabales,Bauhiniaceae,Fabaceae,Fabales
Caesalpiniaceae=Fabaceae=Fabales,Caesalpiniaceae,Fabaceae,Fabales
Cassiaceae=Fabaceae=Fabales,Cassiaceae,Fabaceae,Fabales
Ceratoniaceae=Fabaceae=Fabales,Ceratoniaceae,Fabaceae,Fabales
Ciceraceae=Fabaceae=Fabales,Ciceraceae,Fabaceae,Fabales
Coronillaceae=Fabaceae=Fabales,Coronillaceae,Fabaceae,Fabales
Dalbergiaceae=Fabaceae=Fabales,Dalbergiaceae,Fabaceae,Fabales
Daleaceae=Fabaceae=Fabales,Daleaceae,Fabaceae,Fabales
Detariaceae=Fabaceae=Fabales,Detariaceae,Fabaceae,Fabales
Diclidantheraceae=Polygalaceae=Fabales,Diclidantheraceae,Polygalaceae,Fabales
Galedupaceae=Fabaceae=Fabales,Galedupaceae,Fabaceae,Fabales
Geoffroeaceae=Fabaceae=Fabales,Geoffroeaceae,Fabaceae,Fabales
Hedysaraceae=Fabaceae=Fabales,Hedysaraceae,Fabaceae,Fabales
Inocarpaceae=Fabaceae=Fabales,Inocarpaceae,Fabaceae,Fabales
Leguminosae=Fabaceae=Fabales,Leguminosae,Fabaceae,Fabales
Lotaceae=Fabaceae=Fabales,Lotaceae,Fabaceae,Fabales
Mimosaceae=Fabaceae=Fabales,Mimosaceae,Fabaceae,Fabales
Moutabeaceae=Polygalaceae=Fabales,Moutabeaceae,Polygalaceae,Fabales
Papilionaceae=Fabaceae=Fabales,Papilionaceae,Fabaceae,Fabales
Phaseolaceae=Fabaceae=Fabales,Phaseolaceae,Fabaceae,Fabales
Stylobasiaceae=Surianaceae=Fabales,Stylobasiaceae,Surianaceae,Fabales
Swartziaceae=Fabaceae=Fabales,Swartziaceae,Fabaceae,Fabales
Tamarindaceae=Fabaceae=Fabales,Tamarindaceae,Fabaceae,Fabales
Trifoliaceae=Fabaceae=Fabales,Trifoliaceae,Fabaceae,Fabales
Viciaceae=Fabaceae=Fabales,Viciaceae,Fabaceae,Fabales
Xanthophyllaceae=Polygalaceae=Fabales,Xanthophyllaceae,Polygalaceae,Fabales
Canacomyricaceae=Myricaceae=Fagales,Canacomyricaceae,Myricaceae,Fagales
Carpinaceae=Betulaceae=Fagales,Carpinaceae,Betulaceae,Fagales
Castaneaceae=Fagaceae=Fagales,Castaneaceae,Fagaceae,Fagales
Corylaceae=Betulaceae=Fagales,Corylaceae,Betulaceae,Fagales
Engelhardtiaceae=Juglandaceae=Fagales,Engelhardtiaceae,Juglandaceae,Fagales
Platycaryaceae=Juglandaceae=Fagales,Platycaryaceae,Juglandaceae,Fagales
Quercaceae=Fagaceae=Fagales,Quercaceae,Fagaceae,Fagales
Aucubaceae=Garryaceae=Garryales,Aucubaceae,Garryaceae,Garryales
Antoniaceae=Loganiaceae=Gentianales,Antoniaceae,Loganiaceae,Gentianales
Aparinaceae=Rubiaceae=Gentianales,Aparinaceae,Rubiaceae,Gentianales
Asclepiadaceae=Apocynaceae=Gentianales,Asclepiadaceae,Apocynaceae,Gentianales
Asperulaceae=Rubiaceae=Gentianales,Asperulaceae,Rubiaceae,Gentianales
Carissaceae=Apocynaceae=Gentianales,Carissaceae,Apocynaceae,Gentianales
Catesbaeaceae=Rubiaceae=Gentianales,Catesbaeaceae,Rubiaceae,Gentianales
Cephalanthaceae=Rubiaceae=Gentianales,Cephalanthaceae,Rubiaceae,Gentianales
Cerberaceae=Apocynaceae=Gentianales,Cerberaceae,Apocynaceae,Gentianales
Chironiaceae=Gentianaceae=Gentianales,Chironiaceae,Gentianaceae,Gentianales
Cinchoniaceae=Rubiaceae=Gentianales,Cinchoniaceae,Rubiaceae,Gentianales
Coffeaceae=Rubiaceae=Gentianales,Coffeaceae,Rubiaceae,Gentianales
Coutariaceae=Rubiaceae=Gentianales,Coutariaceae,Rubiaceae,Gentianales
Coutoubeaceae=Gentianaceae=Gentianales,Coutoubeaceae,Gentianaceae,Gentianales
Cynanchaceae=Apocynaceae=Gentianales,Cynanchaceae,Apocynaceae,Gentianales
Cynocrambaceae=Rubiaceae=Gentianales,Cynocrambaceae,Rubiaceae,Gentianales
Dialypetalanthaceae=Rubiaceae=Gentianales,Dialypetalanthaceae,Rubiaceae,Gentianales
Galiaceae=Rubiaceae=Gentianales,Galiaceae,Rubiaceae,Gentianales
Gardeniaceae=Rubiaceae=Gentianales,Gardeniaceae,Rubiaceae,Gentianales
Gardneriaceae=Loganiaceae=Gentianales,Gardneriaceae,Loganiaceae,Gentianales
Geniostomataceae=Loganiaceae=Gentianales,Geniostomataceae,Loganiaceae,Gentianales
Guettardaceae=Rubiaceae=Gentianales,Guettardaceae,Rubiaceae,Gentianales
Hameliaceae=Rubiaceae=Gentianales,Hameliaceae,Rubiaceae,Gentianales
Hedyotidaceae=Rubiaceae=Gentianales,Hedyotidaceae,Rubiaceae,Gentianales
Henriqueziaceae=Rubiaceae=Gentianales,Henriqueziaceae,Rubiaceae,Gentianales
Houstoniaceae=Rubiaceae=Gentianales,Houstoniaceae,Rubiaceae,Gentianales
Hydrophylacaceae=Rubiaceae=Gentianales,Hydrophylacaceae,Rubiaceae,Gentianales
Lippayaceae=Rubiaceae=Gentianales,Lippayaceae,Rubiaceae,Gentianales
Lygodisodeaceae=Rubiaceae=Gentianales,Lygodisodeaceae,Rubiaceae,Gentianales
Naucleaceae=Rubiaceae=Gentianales,Naucleaceae,Rubiaceae,Gentianales
Nonateliaceae=Rubiaceae=Gentianales,Nonateliaceae,Rubiaceae,Gentianales
Obolariaceae=Gentianaceae=Gentianales,Obolariaceae,Gentianaceae,Gentianales
Operculariaceae=Rubiaceae=Gentianales,Operculariaceae,Rubiaceae,Gentianales
Ophioxylaceae=Apocynaceae=Gentianales,Ophioxylaceae,Apocynaceae,Gentianales
Pacouriaceae=Apocynaceae=Gentianales,Pacouriaceae,Apocynaceae,Gentianales
Pagamaeaceae=Rubiaceae=Gentianales,Pagamaeaceae,Rubiaceae,Gentianales
Periplocaceae=Apocynaceae=Gentianales,Periplocaceae,Apocynaceae,Gentianales
Plumeriaceae=Apocynaceae=Gentianales,Plumeriaceae,Apocynaceae,Gentianales
Potaliaceae=Gentianaceae=Gentianales,Potaliaceae,Gentianaceae,Gentianales
Psychotriaceae=Rubiaceae=Gentianales,Psychotriaceae,Rubiaceae,Gentianales
Pteleocarpaceae=?Gelsemiaceae=Gentianales,Pteleocarpaceae,Gelsemiaceae,Gentianales
Randiaceae=Rubiaceae=Gentianales,Randiaceae,Rubiaceae,Gentianales
Sabiceaceae=Rubiaceae=Gentianales,Sabiceaceae,Rubiaceae,Gentianales
Saccifoliaceae=Gentianaceae=Gentianales,Saccifoliaceae,Gentianaceae,Gentianales
Spermacoceaceae=Rubiaceae=Gentianales,Spermacoceaceae,Rubiaceae,Gentianales
Spigeliaceae=Loganiaceae=Gentianales,Spigeliaceae,Loganiaceae,Gentianales
Stapeliaceae=Apocynaceae=Gentianales,Stapeliaceae,Apocynaceae,Gentianales
Strychnaceae=Loganiaceae=Gentianales,Strychnaceae,Loganiaceae,Gentianales
Theligonaceae=Rubiaceae=Gentianales,Theligonaceae,Rubiaceae,Gentianales
Vincaceae=Apocynaceae=Gentianales,Vincaceae,Apocynaceae,Gentianales
Willughbieaceae=Apocynaceae=Gentianales,Willughbieaceae,Apocynaceae,Gentianales
Bersamaceae=Melianthaceae=Geraniales,Bersamaceae,Melianthaceae,Geraniales
Erodiaceae=Geraniaceae=Geraniales,Erodiaceae,Geraniaceae,Geraniales
Greyiaceae=Melianthaceae=Geraniales,Greyiaceae,Melianthaceae,Geraniales
Hypseocharitaceae=Geraniaceae=Geraniales,Hypseocharitaceae,Geraniaceae,Geraniales
Rhynchothecaceae=Ledocarpaceae=Geraniales,Rhynchothecaceae,Ledocarpaceae,Geraniales
Thoaceae=Gnetaceae=Gnetales,Thoaceae,Gnetaceae,Gnetales
Tumboaceae=Welwitschiaceae=Gnetales,Tumboaceae,Welwitschiaceae,Gnetales
"Kasicarpaceae=fossilSarbaicarpales,?near""Hamamelidales""",Kasicarpaceae,,Hamamelidales
"Sarbaicarpaceae=fossilSarbaicarpales,?near""Hamamelidales""",Sarbaicarpaceae,,Hamamelidales
Huerteaceae=Tapisciaceae=Huerteales,Huerteaceae,Tapisciaceae,Huerteales
Acanthaceae=Lamiales,Acanthaceae,,Lamiales
Aeginetiaceae=Orobanchaceae=Lamiales,Aeginetiaceae,Orobanchaceae,Lamiales
Aegiphilaceae=Lamiaceae=Lamiales,Aegiphilaceae,Lamiaceae,Lamiales
Ajugaceae=Lamiaceae=Lamiales,Ajugaceae,Lamiaceae,Lamiales
Antirrhinaceae=Plantaginaceae=Lamiales,Antirrhinaceae,Plantaginaceae,Lamiales
Aragoaceae=Plantaginaceae=Lamiales,Aragoaceae,Plantaginaceae,Lamiales
Avicenniaceae=Acanthaceae=Lamiales,Avicenniaceae,Acanthaceae,Lamiales
Belloniaceae=Gesneriaceae=Lamiales,Belloniaceae,Gesneriaceae,Lamiales
Besleriaceae=Gesneriaceae=Lamiales,Besleriaceae,Gesneriaceae,Lamiales
Bolivaraceae=Oleaceae=Lamiales,Bolivaraceae,Oleaceae,Lamiales
Bontiaceae=Scrophulariaceae=Lamiales,Bontiaceae,Scrophulariaceae,Lamiales
Buchneraceae=Orobanchaceae=Lamiales,Buchneraceae,Orobanchaceae,Lamiales
Buddlejaceae=Scrophulariaceae=Lamiales,Buddlejaceae,Scrophulariaceae,Lamiales
Callitrichaceae=Plantaginaceae=Lamiales,Callitrichaceae,Plantaginaceae,Lamiales
Caprariaceae=Scrophulariaceae=Lamiales,Caprariaceae,Scrophulariaceae,Lamiales
Chelonaceae=Plantaginaceae=Lamiales,Chelonaceae,Plantaginaceae,Lamiales
Chloanthaceae=Lamiaceae=Lamiales,Chloanthaceae,Lamiaceae,Lamiales
Crescentiaceae=Bignoniaceae=Lamiales,Crescentiaceae,Bignoniaceae,Lamiales
Cyclocheilaceae=Orobanchaceae=Lamiales,Cyclocheilaceae,Orobanchaceae,Lamiales
Cyrtandraceae=Gesneriaceae=Lamiales,Cyrtandraceae,Gesneriaceae,Lamiales
Dicrastylidiaceae=Lamiaceae=Lamiales,Dicrastylidiaceae,Lamiaceae,Lamiales
Didymocarpaceae=Gesneriaceae=Lamiales,Didymocarpaceae,Gesneriaceae,Lamiales
Digitalidaceae=Plantaginaceae=Lamiales,Digitalidaceae,Plantaginaceae,Lamiales
Durantaceae=Verbenaceae=Lamiales,Durantaceae,Verbenaceae,Lamiales
Ellisiophyllaceae=Plantaginaceae=Lamiales,Ellisiophyllaceae,Plantaginaceae,Lamiales
Erinaceae=Orobanchaceae=Lamiales,Erinaceae,Orobanchaceae,Lamiales
Euphrasiaceae=Orobanchaceae=Lamiales,Euphrasiaceae,Orobanchaceae,Lamiales
Forestieraceae=Oleaceae=Lamiales,Forestieraceae,Oleaceae,Lamiales
Fraxinaceae=Oleaceae=Lamiales,Fraxinaceae,Oleaceae,Lamiales
Glechomaceae=Lamiaceae=Lamiales,Glechomaceae,Lamiaceae,Lamiales
Globulariaceae=Plantaginaceae=Lamiales,Globulariaceae,Plantaginaceae,Lamiales
Gratiolaceae=Plantaginaceae=Lamiales,Gratiolaceae,Plantaginaceae,Lamiales
Hallieraceae=Stilbaceae=Lamiales,Hallieraceae,Stilbaceae,Lamiales
Hebenstretiaceae=Scrophulariaceae=Lamiales,Hebenstretiaceae,Scrophulariaceae,Lamiales
Hemimeridaceae=Scrophulariaceae=Lamiales,Hemimeridaceae,Scrophulariaceae,Lamiales
Hippuridaceae=Plantaginaceae=Lamiales,Hippuridaceae,Plantaginaceae,Lamiales
Jasminiaceae=Oleaceae=Lamiales,Jasminiaceae,Oleaceae,Lamiales
Justiciaceae=Acanthaceae=Lamiales,Justiciaceae,Acanthaceae,Lamiales
Labiatae=Lamiaceae=Lamiales,Labiatae,Lamiaceae,Lamiales
Lantanaceae=Verbenaceae=Lamiales,Lantanaceae,Verbenaceae,Lamiales
Ligustraceae=Oleaceae=Lamiales,Ligustraceae,Oleaceae,Lamiales
Limosellaceae=Scrophulariaceae=Lamiales,Limosellaceae,Scrophulariaceae,Lamiales
Linariaceae=Plantaginaceae=Lamiales,Linariaceae,Plantaginaceae,Lamiales
Lindenbergiaceae=Orobanchaceae=Lamiales,Lindenbergiaceae,Orobanchaceae,Lamiales
Littorellaceae=Plantaginaceae=Lamiales,Littorellaceae,Plantaginaceae,Lamiales
Melampyraceae=Orobanchaceae=Lamiales,Melampyraceae,Orobanchaceae,Lamiales
Melittidaceae=Lamiaceae=Lamiales,Melittidaceae,Lamiaceae,Lamiales
Mendonciaceae=Acanthaceae=Lamiales,Mendonciaceae,Acanthaceae,Lamiales
Menthaceae=Lamiaceae=Lamiales,Menthaceae,Lamiaceae,Lamiales
Meyeniaceae=Acanthaceae=Lamiales,Meyeniaceae,Acanthaceae,Lamiales
Monardaceae=Lamiaceae=Lamiales,Monardaceae,Lamiaceae,Lamiales
Myoporaceae=Scrophulariaceae=Lamiales,Myoporaceae,Scrophulariaceae,Lamiales
Nelsoniaceae=Acanthaceae=Lamiales,Nelsoniaceae,Acanthaceae,Lamiales
Nepetaceae=Lamiaceae=Lamiales,Nepetaceae,Lamiaceae,Lamiales
Nesogenaceae=Orobanchaceae=Lamiales,Nesogenaceae,Orobanchaceae,Lamiales
Nyctanthaceae=Oleaceae=Lamiales,Nyctanthaceae,Oleaceae,Lamiales
Oftiaceae=Scrophulariaceae=Lamiales,Oftiaceae,Scrophulariaceae,Lamiales
Oxycladaceae=Plantaginaceae=Lamiales,Oxycladaceae,Plantaginaceae,Lamiales
Pedicularidaceae=Orobanchaceae=Lamiales,Pedicularidaceae,Orobanchaceae,Lamiales
Petreaceae=Verbenaceae=Lamiales,Petreaceae,Verbenaceae,Lamiales
Phelypaeaceae=Orobanchaceae=Lamiales,Phelypaeaceae,Orobanchaceae,Lamiales
Pinguiculaceae=Lentibulariaceae=Lamiales,Pinguiculaceae,Lentibulariaceae,Lamiales
Psylliaceae=Plantaginaceae=Lamiales,Psylliaceae,Plantaginaceae,Lamiales
Ramondaceae=Gesneriaceae=Lamiales,Ramondaceae,Gesneriaceae,Lamiales
Rehmanniaceae=Orobanchaceae=Lamiales,Rehmanniaceae,Orobanchaceae,Lamiales
Retziaceae=Stilbaceae=Lamiales,Retziaceae,Stilbaceae,Lamiales
Rhinanthaceae=Orobanchaceae=Lamiales,Rhinanthaceae,Orobanchaceae,Lamiales
Salazariaceae=Lamiaceae=Lamiales,Salazariaceae,Lamiaceae,Lamiales
Salviaceae=Lamiaceae=Lamiales,Salviaceae,Lamiaceae,Lamiales
Saturejaceae=Lamiaceae=Lamiales,Saturejaceae,Lamiaceae,Lamiales
Schreberaceae=Oleaceae=Lamiales,Schreberaceae,Oleaceae,Lamiales
Scopariaceae=Plantaginaceae=Lamiales,Scopariaceae,Plantaginaceae,Lamiales
Scutellariaceae=Lamiaceae=Lamiales,Scutellariaceae,Lamiaceae,Lamiales
Selaginaceae=Scrophulariaceae=Lamiales,Selaginaceae,Scrophulariaceae,Lamiales
Sesamaceae=Pedaliaceae=Lamiales,Sesamaceae,Pedaliaceae,Lamiales
